Authority	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	% Increase
Cleveland  	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Colchester	112.12	120.51	130.01	146.04	156.42	162.82	167.14	174.58	180	185.15	190.62	70.01
Congleton	110.83	129.42	142.57	153.57	159.53	169.33	179.83	191.86	209.53	-	-	#VALUE!
Conwy	551.2	599.73	655.25	729.51	776.94	826.77	867.72	914.9	959.74	1006.96	1049.64	90.43
Copeland	129.44	137.08	147.67	154.6	162.24	168.8	173.52	177.54	184.38	192.71	198.24	53.15
Corby	110.53	115.44	132.36	138.92	145.83	152.74	157.46	162.22	168.45	174.85	180.31	63.13
Cornwall	621.64	655.45	711.4	781.65	837.85	879.74	923.73	969.82	1017.73	-	-	#VALUE!
Cornwall UA	-	-	-	-	-	-	-	-	-	1262.1	1300.91	#VALUE!
Cotswold	120.15	129.87	142.84	154.69	160.07	166.74	172.85	177.35	184.46	191.66	196.25	63.34
Coventry	936.06	977	1019.22	1064.08	1090.68	1133.23	1172.87	1212.75	1245.5	1292.82	1323.86	41.43
Craven	125.04	131.74	142.18	153.5	159.8	168.26	175.74	183.11	183.78	192.4	198.86	59.04
Crawley	120.6	126	141.12	153.9	162.36	170.37	175.32	178.83	182.43	186.03	187.83	55.75
Crewe & Nantwich	122.13	127.08	134.66	134.5	141.12	147.59	152.02	151.53	155.76	-	-	#VALUE!
Croydon	684.74	672.99	679.65	862.07	924.14	970.25	1013.33	1053.76	1095.81	1137.89	1150.11	67.96
Cumbria	705.26	737	795.96	890.43	928.3	971.16	1019.43	1070.3	1112.04	1139.84	1161.5	64.69
Dacorum	103.88	110.06	120.71	129.42	141.53	148.02	154.39	160.54	167.7	175.7	180.66	73.91
Darlington	688.19	774	870.82	923.1	933.66	978.65	1021.65	1061.56	1113.9	1152.8	1153.15	67.56
Dartford	116.11	122.31	133.5	140.13	142.88	149.45	157.02	164.6	173.25	181.87	187.52	61.50
Daventry	58.66	79.4	108.95	129.01	146.86	159.04	164.55	171.64	177.99	183.47	188.22	220.87
